rv;ccf;ccfErr
km/s;--;--
 65.091003;0.9911;0.0063
 65.591003;0.9914;0.0063
 66.091003;0.9916;0.0063
 66.591003;0.9917;0.0063
 67.091003;0.9919;0.0063
 67.591003;0.9921;0.0063
 68.091003;0.9922;0.0063
 68.591003;0.9922;0.0063
 69.091003;0.9922;0.0063
 69.591003;0.9922;0.0063
 70.091003;0.9920;0.0063
 70.591003;0.9918;0.0063
 71.091003;0.9917;0.0063
 71.591003;0.9916;0.0063
 72.091003;0.9916;0.0063
 72.591003;0.9914;0.0063
 73.091003;0.9913;0.0063
 73.591003;0.9911;0.0063
 74.091003;0.9907;0.0063
 74.591003;0.9905;0.0063
 75.091003;0.9902;0.0063
 75.591003;0.9898;0.0063
 76.091003;0.9894;0.0063
 76.591003;0.9889;0.0063
 77.091003;0.9885;0.0063
 77.591003;0.9881;0.0063
 78.091003;0.9879;0.0063
 78.591003;0.9878;0.0063
 79.091003;0.9880;0.0063
 79.591003;0.9881;0.0063
 80.091003;0.9883;0.0063
 80.591003;0.9886;0.0063
 81.091003;0.9888;0.0063
 81.591003;0.9892;0.0063
 82.091003;0.9896;0.0063
 82.591003;0.9900;0.0063
 83.091003;0.9905;0.0063
 83.591003;0.9907;0.0063
 84.091003;0.9908;0.0063
 84.591003;0.9903;0.0063
 85.091003;0.9893;0.0063
 85.591003;0.9874;0.0063
 86.091003;0.9844;0.0063
 86.591003;0.9800;0.0063
 87.091003;0.9739;0.0063
 87.591003;0.9656;0.0063
 88.091003;0.9549;0.0063
 88.591003;0.9412;0.0063
 89.091003;0.9243;0.0063
 89.591003;0.9042;0.0063
 90.091003;0.8810;0.0063
 90.591003;0.8549;0.0063
 91.091003;0.8267;0.0063
 91.591003;0.7969;0.0063
 92.091003;0.7669;0.0063
 92.591003;0.7376;0.0063
 93.091003;0.7105;0.0063
 93.591003;0.6873;0.0063
 94.091003;0.6694;0.0063
 94.591003;0.6574;0.0063
 95.091003;0.6522;0.0063
 95.591003;0.6541;0.0063
 96.091003;0.6633;0.0063
 96.591003;0.6790;0.0063
 97.091003;0.7003;0.0063
 97.591003;0.7260;0.0063
 98.091003;0.7547;0.0063
 98.591003;0.7850;0.0063
 99.091003;0.8156;0.0063
 99.591003;0.8450;0.0063
100.091003;0.8726;0.0063
100.591003;0.8976;0.0063
101.091003;0.9195;0.0063
101.591003;0.9381;0.0063
102.091003;0.9534;0.0063
102.591003;0.9657;0.0063
103.091003;0.9753;0.0063
103.591003;0.9824;0.0063
104.091003;0.9874;0.0063
104.591003;0.9909;0.0063
105.091003;0.9933;0.0063
105.591003;0.9949;0.0063
106.091003;0.9955;0.0063
106.591003;0.9957;0.0063
107.091003;0.9956;0.0063
107.591003;0.9952;0.0063
108.091003;0.9944;0.0063
108.591003;0.9937;0.0063
109.091003;0.9931;0.0063
109.591003;0.9925;0.0063
110.091003;0.9921;0.0063
110.591003;0.9920;0.0063
111.091003;0.9920;0.0063
111.591003;0.9922;0.0063
112.091003;0.9923;0.0063
112.591003;0.9926;0.0063
113.091003;0.9931;0.0063
113.591003;0.9936;0.0063
114.091003;0.9939;0.0063
114.591003;0.9942;0.0063
115.091003;0.9946;0.0063
115.591003;0.9950;0.0063
116.091003;0.9956;0.0063
116.591003;0.9961;0.0063
117.091003;0.9966;0.0063
117.591003;0.9971;0.0063
118.091003;0.9975;0.0063
118.591003;0.9978;0.0063
119.091003;0.9981;0.0063
119.591003;0.9985;0.0063
120.091003;0.9990;0.0063
120.591003;0.9995;0.0063
121.091003;0.9999;0.0063
121.591003;1.0001;0.0063
122.091003;1.0002;0.0063
122.591003;1.0003;0.0063
123.091003;1.0004;0.0063
123.591003;1.0004;0.0063
124.091003;1.0005;0.0063
124.591003;1.0006;0.0063
125.091003;1.0007;0.0063
